0.000,0.000443,0.223849,-0.000651
0.020,0.000443,0.223851,-0.000651
0.040,0.000443,0.223852,-0.000651
0.060,0.000442,0.223853,-0.000651
0.080,0.000442,0.223853,-0.000651
0.100,0.000442,0.223854,-0.000651
0.120,0.000442,0.223854,-0.000651
0.140,0.000442,0.223855,-0.000651
0.160,0.000442,0.223855,-0.000651
0.180,0.000442,0.223855,-0.000651
0.200,0.000442,0.223856,-0.000651
0.220,0.000442,0.223856,-0.000651
0.240,0.000442,0.223856,-0.000651
0.260,0.000442,0.223856,-0.000651
0.280,0.000442,0.223856,-0.000651
0.300,0.000442,0.223856,-0.000651
0.320,0.000442,0.223856,-0.000651
0.340,0.000442,0.223856,-0.000651
0.360,0.000442,0.223856,-0.000651
0.380,0.000442,0.223856,-0.000651
0.400,0.000442,0.223856,-0.000651
0.420,0.000442,0.223856,-0.000651
0.440,0.000442,0.223856,-0.000651
0.460,0.000442,0.223856,-0.000651
0.480,0.000442,0.223856,-0.000651
0.500,0.000442,0.223856,-0.000651
0.520,0.000442,0.223839,-0.000714
0.540,0.000445,0.223912,-0.000775
0.560,0.000451,0.224059,-0.000823
0.580,0.000459,0.224264,-0.000857
0.600,0.000470,0.224515,-0.000879
0.620,0.000483,0.224801,-0.000892
0.640,0.000498,0.225115,-0.000897
0.660,0.000515,0.225449,-0.000895
0.680,0.000533,0.225798,-0.000887
0.700,0.000553,0.226158,-0.000874
0.720,0.000575,0.226526,-0.000856
0.740,0.000598,0.226899,-0.000834
0.760,0.000623,0.227275,-0.000809
0.780,0.000649,0.227652,-0.000771
0.800,0.000676,0.228028,-0.000728
0.820,0.000705,0.228403,-0.000657
0.840,0.000734,0.228776,-0.000578
0.860,0.000764,0.229146,-0.000495
0.880,0.000796,0.229513,-0.000409
0.900,0.000829,0.229875,-0.000321
0.920,0.000863,0.230233,-0.000231
0.940,0.000899,0.230587,-0.000140
0.960,0.000936,0.230935,-0.000047
